LAMMPS data file via write_data, version 24 Mar 2022, timestep = 32002000

512 atoms
1 atom types

-0.07164964970640657 21.817667349119223 xlo xhi
-0.07164964970640657 21.817667349119223 ylo yhi
-0.07164964970640657 21.817667349119223 zlo zhi

Masses

1 28.085

Atoms # atomic

247 1 0.9672884851975191 0.8312701948966694 0.7426556850245875 -3 2 26
68 1 4.1550382305462055 1.5159884223553028 2.3133586952556753 9 11 -7
111 1 8.193373453305064 0.10653091509883501 1.500130722194365 18 7 -5
389 1 9.256391107995302 2.1961584551023283 1.6946585343716478 -3 7 -14
500 1 1.894072527968333 5.361102425718361 2.444141669088506 1 11 2
203 1 2.4591950175742547 4.37290479265654 0.3926522593812029 -4 8 -27
161 1 4.55860267627134 3.225197615763215 0.720919781141904 26 -15 -10
174 1 6.127363896120723 4.607692067492454 2.0071315303345822 9 -22 -1
240 1 1.856036059384793 1.3274616322947659 2.8606803796242524 24 -17 -12
117 1 4.585441371586575 2.1312391081127133 4.559620549625279 -10 -19 -20
202 1 6.924739656212156 1.8487198308433679 4.555285487034734 -5 -3 -7
237 1 2.0105189637928214 3.7423959112351945 4.175085661427683 -30 -8 -2
423 1 4.318126274903732 4.443468993135002 5.23668037493483 -10 21 -2
451 1 7.891857858766405 3.490221767637429 3.148887978462323 -6 -9 -17
150 1 9.040217086737142 5.2430108299706015 4.314908945472101 9 12 10
353 1 2.090057047793112 1.946486579312852 7.771902103386295 -1 -13 19
200 1 3.628220083554774 0.8452460684713854 6.318151385752403 10 30 -12
124 1 5.505248949018205 0.32188035722170155 7.650437500056208 -14 -18 -18
306 1 7.025583456445746 2.0183400475018405 6.874134794958155 -9 1 -9
316 1 9.248034369247698 2.070417218640952 7.552009343604239 -5 -18 1
317 1 0.8205405614669382 4.891640088174769 6.034853011522856 -2 8 15
80 1 0.008805557063411672 2.7662570448088237 6.957914906308475 12 3 6
93 1 3.020280019214301 5.312635983399117 7.095147457743319 -16 -14 10
497 1 6.217941906808699 4.250512223124491 6.774320092846551 2 5 16
269 1 9.769626088568284 4.360042062973642 7.358364115246608 34 8 4
193 1 1.0743770677606497 0.2147873648734874 8.948604537281874 -12 0 10
163 1 4.925741733160377 0.3034762198939396 9.921466401739178 5 -28 -7
142 1 9.572692669901716 1.7269517788819977 9.796636203498519 -14 9 -7
271 1 10.715322704794726 0.5940019683850909 6.439246586445351 3 0 -2
69 1 4.7954676279297646 2.516940370210943 10.812441738978277 8 -22 8
495 1 3.2423856110188574 3.6621348786151384 9.008811411393964 -17 -6 6
319 1 5.519612585741204 4.718146932463063 8.926589061915282 1 17 1
151 1 9.075802373816229 3.8909075961784083 10.720028869328674 -4 10 -4
375 1 0.6786257265803846 5.3925760817488095 8.788454173757843 -4 3 -15
178 1 1.2846639155318285 1.2018335605917427 12.640309488202936 2 10 4
373 1 5.22667878078948 1.7678227508495916 13.575382468214094 5 2 1
286 1 7.4001093634833515 4.548213577187499 15.59534543506207 5 1 -19
40 1 9.938859728296428 0.0903154315731539 12.515227537998133 -10 1 -8
401 1 2.9862117838813758 2.8471334331168348 12.559253452772698 -1 -1 2
472 1 6.732065761696782 4.066210633520571 11.379937604410193 6 6 -3
482 1 7.143315141842683 3.153925022215168 13.62987196199797 9 -3 11
154 1 10.302313275611294 3.817319407102038 12.74668686908529 -9 6 -5
65 1 0.596581049338442 0.2025800605046601 16.14356326782895 20 8 -8
293 1 2.0758282381635245 4.537405424875737 10.921598945023565 2 20 10
346 1 4.402187389285329 1.8796867625912452 15.779201899085361 1 7 12
430 1 9.243711182704022 1.9990242316428988 13.807193938060717 11 2 13
268 1 9.95152771124902 1.8340758612015384 16.07347255158641 11 13 12
462 1 -0.017323816986577915 4.106877373477416 14.545736705772532 5 0 23
384 1 2.2734437268334378 4.542504745132321 14.212136615765724 -4 11 -20
357 1 3.425358214164318 3.9628826891366544 16.126464287884733 3 12 11
399 1 3.0226256982310806 -0.060814104363566795 15.958675719079816 -3 -9 7
441 1 6.397554027009818 2.5317789594221307 16.922212520182004 4 -4 -5
290 1 8.154399943014186 1.0767905296783247 17.515457072394465 -12 -5 -2
217 1 1.9169597337231294 4.193389727444711 17.929963118084462 -6 10 -8
199 1 6.132979398273531 3.4612552802902568 19.08007693624156 19 3 0
275 1 8.497109514498609 3.8250352503399734 19.128870439453074 -6 -7 0
318 1 9.452278260633776 3.99043131967494 16.93163264851384 8 18 -8
400 1 1.5373240159728137 2.2126508950975254 19.230436551668763 12 15 -10
56 1 3.364051461912503 0.7037070771626739 19.61433230219679 -4 -2 26
139 1 5.211328090648401 1.8849314599525306 20.668852244063245 -10 19 8
224 1 8.579760889873818 1.1318103979265206 19.95850926034209 3 17 -23
9 1 6.761304035335366 0.07098704857284024 21.291168043601406 -2 -19 0
37 1 0.875544988048462 2.8475689466756955 21.409273672518328 4 -1 3
116 1 9.650699498413266 3.0896010514400434 21.385594339836175 -9 -19 -1
87 1 4.1265680448993765 7.770097999349705 0.3434993097056469 5 2 -6
270 1 3.3439568215844186 7.240393883551498 2.5237546183625033 -18 6 7
134 1 7.525214261850388 6.288697188202888 1.1527954460779561 3 4 7
297 1 10.587815869625617 8.747940651988703 3.2142859381633286 5 4 5
449 1 0.21323661207047095 10.006811461999769 2.1152774453059977 11 -11 6
198 1 8.414921982756876 9.921122340841345 2.7584885338444125 -3 -4 -6
102 1 7.724498166485799 9.873533779380807 0.48659446817651564 -4 -14 -1
414 1 5.035132151155931 5.990020623776016 3.6245159573545505 -2 8 -4
296 1 6.443672453868378 7.431806619638188 4.844772655730519 7 28 -13
